Konstrukt,Construct (Translated),Variablenname,Quelle (Unipark / R),Instruktion,Instructions (translated),Fragentext,Text of question (translated),Antwortformat,Format of answer (translate),fehlende Werte (Angabe durch Proband),fehlende Werte (systemseitig),"Rekodierung in R (s. Tabellenblatt ""neu berechnet"")",Anmerkungen,Notes (translated),Änderung über Wellen hinweg,"change between waves (translated)
","Welle 1
03./04.03.","Welle 2
10./11.03.","Welle 3
17./18.03.","Welle 4
24./25.03.","Welle 5
31.03./01.04.","Welle 6
07./08.04.","Welle 7
14./15.04.","Welle 8
21./22.04.","Welle 9
28./29.04.",Welle 10,Welle 11,Welle 12,Welle 13,Welle 14,Welle 15
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL1_10_B14,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 10 bis unter 14 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 10 to under 14 years. Now please think this age group your child / children.,Wie schätzen Sie den Kenntnisstand Ihres Kindes über das Coronavirus ein?,How do you assess the level of knowledge of your child about the coronavirus?,"1	Sehr schlecht
2	 
3	 
4	 
5	 
6	 
7	Sehr gut","1 Very bad
2
3
4
5
6
7 Very good",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL2_10_B14,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 10 bis unter 14 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 10 to under 14 years. Now please think this age group your child / children.,"Mein Kind versteht, warum die derzeitigen Maßnahmen umgesetzt werden.",My child understands why the current measures are implemented.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL3_10_B14,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 10 bis unter 14 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 10 to under 14 years. Now please think this age group your child / children.,Wie häufig äußert ihr Kind Sorgen oder Ängste aufgrund des neuartigen Coronavirus?,How often their child worries or fears expressed due to the novel coronavirus?,"1  Mehrmals täglich
2  Etwa einmal täglich
3  Mehrmals pro Woche
4  Mehrmals im Monat
5  Seltener
6  Nie","1 Several times a day
2 About once a day
3 Several times a week
4 Several times a month
5 Rare
6 Never",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL1_14_B18,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 14 bis unter 18 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 14 to under 18 years. Now please think this age group your child / children.,Wie schätzen Sie den Kenntnisstand Ihres Kindes über das Coronavirus ein?,How do you assess the level of knowledge of your child about the coronavirus?,"1	Sehr schlecht
2	 
3	 
4	 
5	 
6	 
7	Sehr gut","1 Very bad
2
3
4
5
6
7 Very good",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL2_14_B18,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 14 bis unter 18 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 14 to under 18 years. Now please think this age group your child / children.,"Mein Kind versteht, warum die derzeitigen Maßnahmen umgesetzt werden.",My child understands why the current measures are implemented.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Wellbeing Child,BZgA - Wellbeing Child,BZGA_CHILDWELL3_14_B18,Unipark,"Sie haben angegeben, dass Sie ein Kind im Alter von 14 bis unter 18 Jahren haben. Bitte denken Sie nun an Ihr Kind / Ihre Kinder dieser Altersgruppe.",You have indicated that you have a child aged 14 to under 18 years. Now please think this age group your child / children.,Wie häufig äußert ihr Kind Sorgen oder Ängste aufgrund des neuartigen Coronavirus?,How often their child worries or fears expressed due to the novel coronavirus?,"1  Mehrmals täglich
2  Etwa einmal täglich
3  Mehrmals pro Woche
4  Mehrmals im Monat
5  Seltener
6  Nie","1 Several times a day
2 About once a day
3 Several times a week
4 Several times a month
5 Rare
6 Never",Keine,"NA
-77",keine,Filter: Altersgruppe ,Filters: age group,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Payoff,BZgA - Payoff,BZGA_PAYOFF1,Unipark,"Wirtschaftsexperten haben berechnet, dass die Maßnahmen gegen die Verbreitung des Coronavirus (z.B. Schließung von Betrieben, Verbot von Veranstaltungen) erhebliche wirtschaftliche Kosten verursachen.Bitte bewerten Sie dazu folgende Aussagen.Diese wirtschaftliche Kosten … ","Economists have calculated that the measures against the spread of the coronavirus (for example, closing businesses, ban events) significant economic costs verursachen.Bitte you to rate the following Aussagen.Diese economic costs ...",…sind aktuell angemessen im Verhältnis zu dem damit verfolgten Ziel.,... currently proportionate to the aim pursued.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Payoff,BZgA - Payoff,BZGA_PAYOFF2,Unipark,"Wirtschaftsexperten haben berechnet, dass die Maßnahmen gegen die Verbreitung des Coronavirus (z.B. Schließung von Betrieben, Verbot von Veranstaltungen) erhebliche wirtschaftliche Kosten verursachen.Bitte bewerten Sie dazu folgende Aussagen.Diese wirtschaftliche Kosten … ","Economists have calculated that the measures against the spread of the coronavirus (for example, closing businesses, ban events) significant economic costs verursachen.Bitte you to rate the following Aussagen.Diese economic costs ...",…sollten von allen Bürgerinnen und Bürgern gemeinschaftlich und einkommensabhängig getragen werden.,... should be jointly and income-related borne by all citizens.,"1	Stimme überhaupt nicht zu
2	 
3	 
4	 
5	 
6	 
7	Stimme voll und ganz zu","1 strongly disagree to
2
3
4
5
6
7 Totally agree to",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Payoff,BZgA - Payoff,BZGA_PAYOFF3,Unipark,keine,no,"Wie viel Prozent Ihres jährlichen Haushaltseinkommens wären Sie maximal bereit aufzugeben, um die wirtschaftlichen Kosten der Maßnahmen gegen das Coronavirus mit zu tragen? ",What percentage of your annual household income would you be willing to give maximum wear to the economic cost of the measures against the coronavirus with too?,"1	0%
 	 	2	1-2%
 	 	3	3-5%
 	 	4	6-10%
 	 	5	11-25%
 	 	6	26-50%
 	 	7	Mehr als 50%","1 0%
 2 1-2%
 3 3-5%
 4 6-10%
 5 11-25%
 6 26-50%
 7 More than 50%",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Payoff,BZgA - Payoff,BZGA_PAYOFF4,Unipark,Bitte denken Sie jetzt an Ihre allgemeine gesundheitliche Versorgungssituation in den letzten vier Wochen während der derzeitigen Corona-Situation.Bitte geben Sie nun Ihre Meinung zu den folgenden Aussagen an. ,Please think now your general health care situation in the last four weeks during the current corona Situation.Bitte Now give your opinion on the following statements.,Ich hatte Probleme medizinisch versorgt zu werden (z.B. weil geplante Behandlungen verschoben wurden).,"I had to receive medical care problems (for example, because planned treatments have been moved).","	 	1	Nicht zutreffend, weil kein Versorgungsbedarf bestand
 	 	2	Stimme überhaupt nicht zu
 	 	3	
 	 	4	
 	 	5	
 	 	6	
 	 	7	
 	 	8	Stimme voll und ganz zu","1 Not applicable, since no care needs was
 2 disagree to
 3
 4
 5
 6
 7
 8 Totally agree to",1,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Payoff,BZgA - Payoff,BZGA_PAYOFF5,Unipark,Bitte denken Sie jetzt an Ihre allgemeine gesundheitliche Versorgungssituation in den letzten vier Wochen während der derzeitigen Corona-Situation.Bitte geben Sie nun Ihre Meinung zu den folgenden Aussagen an. ,Please think now your general health care situation in the last four weeks during the current corona Situation.Bitte Now give your opinion on the following statements.,Durch Einschränkungen in der medizinischen Versorgung hat sich mein Gesundheitszustand verschlechtert.,"By restrictions in medical care, my health has deteriorated.","	 	1	Nicht zutreffend, weil kein Versorgungsbedarf bestand
 	 	2	Stimme überhaupt nicht zu
 	 	3	
 	 	4	
 	 	5	
 	 	6	
 	 	7	
 	 	8	Stimme voll und ganz zu","1 Not applicable, since no care needs was
 2 disagree to
 3
 4
 5
 6
 7
 8 Totally agree to",1,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Payoff,BZgA - Payoff,CONDITION_ACCESS,Unipark,keine,no,keine,no,"1 - 1 Monat
2 - 6 Monate
3 - 12 Monate","1 - 1 month
2 - 6 months
3 - 12 Months",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - Payoff,BZgA - Payoff,BZGA_PAYOFF6,Unipark,keine,no,"(1) Sollten Sie in dem nächsten Monat Zugang zu medizinischer Versorgung benötigen: Als wie hoch schätzen Sie die Wahrscheinlichkeit ein, Zugang zu medizinischer Versorgung zu erhalten?
(2) Sollten Sie in den nächsten 6 Monaten Zugang zu medizinischer Versorgung benötigen: Als wie hoch schätzen Sie die Wahrscheinlichkeit ein, Zugang zu medizinischer Versorgung zu erhalten?
(3) Sollten Sie in den nächsten 12 Monaten Zugang zu medizinischer Versorgung benötigen: Als wie hoch schätzen Sie die Wahrscheinlichkeit ein, Zugang zu medizinischer Versorgung zu erhalten?","(1) Should you require in the next month access to medical care: As high as you assess the probability of obtaining access to medical care?
(2) If you need over the next six months, access to health care: As high as you assess the probability of obtaining access to medical care?
(3) If you need over the next 12 months access to medical care: As high as you assess the probability of obtaining access to medical care?","1	Äußerst unwahrscheinlich
2	Nicht wahrscheinlich
3	Wahrscheinlich
4	Sehr wahrscheinlich","1 Extremely unlikely
2 Not likely
3 Probably
4 Very likely",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Patientenverfügung,Living Will,PDECREE1,Unipark,"Eine Infektion mit Corona kann erhebliche Konsequenzen für die Gesundheit haben. Gerade bei Risikopatienten kann eine COVID-19 Erkrankung zu gesundheitlichen Beeinträchtigung bishin zur intensivmedizinischen Therapie führen. Zu den Risikogruppe gehören ältere Personen. Mithilfe einer Patientenverfügung kann jeder für sich selbst Festlegungen treffen, welche therapeutischen Maßnahmen im Fall eines schweren Krankheitsverlaufes durchgeführt werden sollen, z. B. eine künstliche Beatmung.",Infection with Corona may have significant consequences for health. Especially in high-risk patients COVID-19 disease to health impairment can lead bishin for intensive medical therapy. Among the risk groups include the elderly. Using a Living Will anyone can make the settings for yourself which therapeutic measures are to be implemented in the event of a major disease process such. B. artificial respiration.,Haben Sie eine Patientenverfügung?,Do you have a living will?,"1 Ja, ich habe schon seit längerer Zeit eine Patientenverfügung.
2 Ja, ich habe in den letzten zwei Monaten eine Patientenverfügung erstellt.
3 Nein, aber ich habe in den letzten zwei Monaten darüber nachgedacht, eine Patientenverfügung zu erstellen.
4 Nein, ich habe keine Patientenverfügung.","1 Yes, I have a living will for a long time.
2 Yes, I have created an advance in the last two months.
3 No, but I've been thinking in the last two months about creating a living will.
4 No, I have no living will.",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Patientenverfügung,Living Will,PDECREE2,Unipark,"Eine Infektion mit Corona kann erhebliche Konsequenzen für die Gesundheit haben. Gerade bei Risikopatienten kann eine COVID-19 Erkrankung zu gesundheitlichen Beeinträchtigung bishin zur intensivmedizinischen Therapie führen. Zu den Risikogruppe gehören ältere Personen. Mithilfe einer Patientenverfügung kann jeder für sich selbst Festlegungen treffen, welche therapeutischen Maßnahmen im Fall eines schweren Krankheitsverlaufes durchgeführt werden sollen, z. B. eine künstliche Beatmung.",Infection with Corona may have significant consequences for health. Especially in high-risk patients COVID-19 disease to health impairment can lead bishin for intensive medical therapy. Among the risk groups include the elderly. Using a Living Will anyone can make the settings for yourself which therapeutic measures are to be implemented in the event of a major disease process such. B. artificial respiration.,"Haben Sie in den letzten zwei Monaten mit einem älteren Angehörigen darüber gesprochen, ob sie/er eine Patientenverfügung erstellen sollte?",Have you spoken in the past two months with an older family members about whether he / she should create a living will?,"1	Ja
2	Nein","1 Yes
2 No",Keine,NA,keine,keine,no,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
BZgA - physische Aktivitäten,BZgA - physical activities,BZGA_AERO_DAY,Unipark,"Denken Sie bei den folgenden Fragen an Sport, Fitness und körperliche Aktivität in der Freizeit, welche mindestens zu einem leichten  Anstieg der Atem- oder Herzfrequenz führen. Zum Beispiel: (Nordic-)Walking, Ballsport, Joggen, Fahrradfahren,  Schwimmen, Aerobic, Rudern oder Badminton. ","Think of the following questions on sports, fitness and physical activity in leisure time which at least lead to a slight increase in breathing or heart rate. For example: (Nordic) walking, ball games, jogging, cycling, swimming, aerobics, rowing and badminton.","An wie vielen Tagen in einer typischen Woche in der aktuellen Corona-Situation üben Sie mindestens 10 Minuten ohne Unterbrechung Sport, Fitness oder körperliche Aktivität in der Freizeit aus? ","On how many days in a typical week in the current corona situation you practice at least 10 minutes at a sports, fitness or physical activity during leisure time?",Tage pro Woche   Ganzzahl,Days a week integer,Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
BZgA - physische Aktivitäten,BZgA - physical activities,"BZGA_AERO_HOUR
BZGA_AERO_MINUTE",Unipark,"Denken Sie bei den folgenden Fragen an Sport, Fitness und körperliche Aktivität in der Freizeit, welche mindestens zu einem leichten  Anstieg der Atem- oder Herzfrequenz führen. Zum Beispiel: (Nordic-)Walking, Ballsport, Joggen, Fahrradfahren,  Schwimmen, Aerobic, Rudern oder Badminton. ","Think of the following questions on sports, fitness and physical activity in leisure time which at least lead to a slight increase in breathing or heart rate. For example: (Nordic) walking, ball games, jogging, cycling, swimming, aerobics, rowing and badminton.","Wie viel Zeit verbringen Sie insgesamt in einer typischen Woche  in der aktuellen Corona-Situation mit Sport, Fitness oder körperlicher Aktivität in der Freizeit?","You will spend a total of how much time in a typical week in the current Corona situation with sports, fitness or physical activity during leisure time?","Stunden     Ganzahl
Minuten pro Woche     Ganzahl","hours Ganzahl
Minutes per week Ganzahl",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
BZgA - physische Aktivitäten,BZgA - physical activities,BZGA_MUSCLE_DAY,Unipark,keine,no,"An wie vielen Tagen in einer typischen Woche  in der aktuellen Corona-Situation üben Sie körperliche Aktivitäten aus, die speziell für den Aufbau oder die Kräftigung der Muskulatur gedacht sind? Zum Beispiel: Krafttraining oder Kräftigungsübungen (mit Gewichten, Thera-Band, eigenem Körpergewicht), Kniebeugen, Liegestützen oder Sit-ups. ","On how many days in a typical week in the current corona situation you practice physical activities that are specifically designed for the development or strengthening the muscles? For example: weight training or strengthening exercises (with weights, resistance band, a private body weight), squats, push-ups or sit-ups.",Tage pro Woche   Ganzzahl,Days a week integer,Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
BZgA - Alkoholkonsum,BZgA - alcohol consumption,BZGA_ALC_REGULAR,Unipark,keine,no,"Wie oft haben Sie in den letzten 12 Monaten wöchentlich Alkohol getrunken, wie Bier, Wein, Sekt, Spirituosen, Schnaps, Cocktails, alkoholische Mischgetränke, Liköre, hausgemachter oder selbstgebrannter Alkohol?","How many times have weekly drunk alcohol in the last 12 months, such as beer, wine, champagne, spirits, liquor, cocktails, alcoholic mixed, liqueurs, homemade or home-distilled alcohol?","1   An allen Tagen in der Woche
2   An 5 oder 6 Tagen pro Woche
3   An 3 oder 4 Tagen pro Woche
4   An 2 Tagen in der Woche
5   An 1 Tag in der Woche
6   An keinem Tag
7   Ich trinke selten Alkohol
8   Ich trinke nie Alkohol","1 On all days of the week
2 to 5 or 6 days a week
3 to 3 or 4 days a week
4 to 2 days a week
5 to 1 day a week
6 On no day
7 I rarely drink alcohol
8 I never drink alcohol",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
BZgA - Alkoholkonsum,BZgA - alcohol consumption,BZGA_ALC_CORONA,Unipark,keine,no,"Denken Sie nun an an die letzten 4 Wochen. Wie oft haben Sie wöchentlich Alkohol getrunken, wie Bier, Wein, Sekt, Spirituosen, Schnaps, Cocktails, alkoholische Mischgetränke, Liköre, hausgemachter oder selbstgebrannter Alkohol?","Now think of the last 4 weeks. How many times have weekly drank alcohol, such as beer, wine, champagne, spirits, liquor, cocktails, alcoholic mixed, liqueurs, homemade or home-distilled alcohol?","1   An allen Tagen in der Woche
2   An 5 oder 6 Tagen pro Woche
3   An 3 oder 4 Tagen pro Woche
4   An 2 Tagen in der Woche
5   An 1 Tag in der Woche
6   An keinem Tag
7   Ich trinke selten Alkohol
8   Ich trinke nie Alkohol","1 On all days of the week
2 to 5 or 6 days a week
3 to 3 or 4 days a week
4 to 2 days a week
5 to 1 day a week
6 On no day
7 I rarely drink alcohol
8 I never drink alcohol",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,tba,tba,tba,tba,tba,tba
